,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
456,945833173233135616,945833173233135616,2017-12-27,geenaatrippp,"can’t find my permit, which means i can’t schedule my road test..  ","['#stressed', '#depressed']","can’t find my permit, which means i can’t schedule my road test.. #stressed #depressed",1
458,945828803229769731,945828803229769731,2017-12-27,mikeex80,"What a Sad day!  Earlier today, iconic WKBW Anchor Irv Weinstein passed away, and I find out a short time ago that  Legend Johnny Bower has passed away...  ","['#leafs', '#depressed', '#nomorebadnewsplease']","What a Sad day!  Earlier today, iconic WKBW Anchor Irv Weinstein passed away, and I find out a short time ago that #Leafs Legend Johnny Bower has passed away... #Depressed #NoMoreBadNewsPlease",1
462,945812772029452288,945812772029452288,2017-12-27,josin_kimberly,Just heard about Ruby Serein. She was such a sweet soul every time I talked to her. I was devastated to hear the news. Sending warm hugs to everyone... Remember to love the people around you because our time is short. It's time to stop hating one another.  ,"['#rip', '#depressed']",Just heard about Ruby Serein. She was such a sweet soul every time I talked to her. I was devastated to hear the news. Sending warm hugs to everyone... Remember to love the people around you because our time is short. It's time to stop hating one another. #rip #depressed,1
468,945793228791517190,945793228791517190,2017-12-27,sunflwrchild95,I'm fuckin chopped liver   ,"['#chinkaos', '#sadboigang', '#depressed']",I'm fuckin chopped liver #chinkaos #sadboigang #depressed,1
471,945785893415260160,945785893415260160,2017-12-27,arsclau,Maybe I'll hate christmas after this year!! 😰😢 When I thought Christmas was a time to love who we love the most and to be or talk with that special person and then... nobody cares! Thank you christmas 2017  ,"['#depressed', '#aloneonchristmas']",Maybe I'll hate christmas after this year!! 😰😢 When I thought Christmas was a time to love who we love the most and to be or talk with that special person and then... nobody cares! Thank you christmas 2017 #depressed #aloneonChristmas,1
472,945785478632169472,945785478632169472,2017-12-27,schristford,"I cannot be working in retail at xmas next year, I need at least the week off for the xmas celebrations!   ","['#depressed', '#backtowork', '#allover']","I cannot be working in retail at xmas next year, I need at least the week off for the xmas celebrations! #depressed #backtowork #allover",1
477,945766071335780353,945766056232185859,2017-12-26,seirracruse,RSVP@Morphe.com and it keeps putting my email into my outbox. I'm confused and they said they're glad I screen shotted the first email so then I sent the next one and that's the one that keeps putting it in the outbox spot. ,['#depressed'],RSVP@Morphe.com and it keeps putting my email into my outbox. I'm confused and they said they're glad I screen shotted the first email so then I sent the next one and that's the one that keeps putting it in the outbox spot. #depressed,1
478,945765542861959170,945765542861959170,2017-12-26,uselessdrago,When things start looking up and life remembers that it hates you and wants you to live in relentless misery. TT_TT  ,"['#depressed', '#lifesucks']",When things start looking up and life remembers that it hates you and wants you to live in relentless misery. TT_TT #depressed #LifeSucks,1
480,945759289939021824,945759289939021824,2017-12-26,kerriganmolly,Bathed pjs and bed all before 9 o’clock on Boxing Day can’t remember the last time that happened☹️☹️ ,['#depressed'],Bathed pjs and bed all before 9 o’clock on Boxing Day can’t remember the last time that happened☹️☹️ #depressed,1
487,945740675601063936,945740675601063936,2017-12-26,sebastiandeming,Christmas is over and nobody didn't make me home pizza.I'm 😠 and  😦  pic.twitter.com/cReb6wDvTp,"['#furious', '#depressed']",Christmas is over and nobody didn't make me home pizza.I'm #furious😠 and #depressed 😦  pic.twitter.com/cReb6wDvTp,1
492,945733701752836096,945733701752836096,2017-12-26,zaynngiirll,"Happy birthday .  I just wish KARMA not come to you.
",['#depressed'],"Happy birthday .  I just wish KARMA not come to you.
#depressed",1
494,945721310193311744,945721310193311744,2017-12-26,kheyeperez,"Lord kunin nyo na lang ako 🙏
sawang sawa na ko sa gantong ikot ng buhay 😢💔
",['#depressed'],"Lord kunin nyo na lang ako 🙏
sawang sawa na ko sa gantong ikot ng buhay 😢💔
#depressed",1
499,945694644037398529,945694644037398529,2017-12-26,meanspice,i’m so  i’m mutuals on my local with a cute boy who went to my old high school and he is always retweeting anti trump and feminist tweets. AND HE RECOGNIZES HIS WHITE PRIVILEGE ??? WHY WERENT WE FUCKING IN HIGH SCHOOL GOD DAMN IT !!!  pic.twitter.com/fVOQFRcXMV,['#depressed'],i’m so #depressed i’m mutuals on my local with a cute boy who went to my old high school and he is always retweeting anti trump and feminist tweets. AND HE RECOGNIZES HIS WHITE PRIVILEGE ??? WHY WERENT WE FUCKING IN HIGH SCHOOL GOD DAMN IT !!!  pic.twitter.com/fVOQFRcXMV,1
506,945671309748469760,945671309748469760,2017-12-26,buttonnandbows,"Could do with a  fed-up, no one to visit,chucking down if I eat anymore I'll pop. ",['#depressed'],"Could do with a #boxingday#joinin fed-up, no one to visit,chucking down if I eat anymore I'll pop. #depressed",1
517,945632305091145729,945632305091145729,2017-12-26,lilrunner,"It’s the worst day of the year, my post-holiday depression is in full swing, and to top it off I have a horrible stomachache. Today should be fun. 😡    pic.twitter.com/4bopgU54Sa","['#feelingsick', '#depressed', '#sigh']","It’s the worst day of the year, my post-holiday depression is in full swing, and to top it off I have a horrible stomachache. Today should be fun. 😡 #feelingsick #depressed #sigh pic.twitter.com/4bopgU54Sa",1
525,945564048514482176,945564048514482176,2017-12-26,technomouse,"I need to change a lot of things, I am simply no longer happy , I want more of relationship with my daughter , I want my own place for us,this has been a lovely house and absolute lifesaver but I think it's time to start moving on",['#depressed'],"I need to change a lot of things, I am simply no longer happy #Depressed, I want more of relationship with my daughter , I want my own place for us,this has been a lovely house and absolute lifesaver but I think it's time to start moving on",1
527,945552139220287488,945552139220287488,2017-12-26,capricopernicus,I feel like I’ve accidentally trained my dogs that when I play Songs: Ohia they should snuggle me or else ,['#depressed'],I feel like I’ve accidentally trained my dogs that when I play Songs: Ohia they should snuggle me or else #depressed,1
532,945532318860632064,945532318860632064,2017-12-26,taprecords,Amazing how you can still feel lonely in a house full of people.  ,"['#lonely', '#depressed']",Amazing how you can still feel lonely in a house full of people. #lonely #depressed,1
536,945519055078903810,945519055078903810,2017-12-26,mellymel425,I hope WWE's report of  being out for approximately 9 months is wrong because if its true looks like this girl will be saving LOTS of money next year as I won't be buying stuff from the shop or going to events without my favorite there. ,"['#deanambrose', '#depressed']",I hope WWE's report of #DeanAmbrose being out for approximately 9 months is wrong because if its true looks like this girl will be saving LOTS of money next year as I won't be buying stuff from the shop or going to events without my favorite there. #Depressed,1
538,945518336833740800,945518336833740800,2017-12-26,feriellelydia19,When you’re listening to a song and all the memories from that special person comes flashing in ur memories and it’s sad they’re not in your life anymore....  ,"['#depressed', '#lonely']",When you’re listening to a song and all the memories from that special person comes flashing in ur memories and it’s sad they’re not in your life anymore.... #depressed #lonely,1
539,945505165863505920,945505165863505920,2017-12-26,tayl_baby,Bruhh being pregnant and lonely has to be the worst feeling ever.. ,['#depressed'],Bruhh being pregnant and lonely has to be the worst feeling ever.. #depressed,1
541,945497720130818048,945497720130818048,2017-12-26,jessroldao,Y mañana se va mi hermano a París  😭💔,['#depressed'],Y mañana se va mi hermano a París #depressed 😭💔,1
